GRID_ID,ID,AREA_X
JH-323,402,1229908.905672835
JJ-323,402,9010254.621334994
JK-323,402,645396.5055198253
JL-323,402,17196817.69843328
JM-323,402,2096921.8742918088
JF-322,402,2302454.095017821
JG-322,402,2048954.875630141
JH-322,402,24653713.73472163
JI-322,402,19343133.60602603
JJ-322,402,25000000.21434673
JK-322,402,24975940.854579292
JL-322,402,25000000.214351736
JM-322,402,24999999.749045093
JF-321,402,773460.4902842147
JG-321,402,24458928.88838897
JH-321,402,24999999.749050092
JI-321,402,25000000.21434673
JJ-321,402,24999999.74904509
JK-321,402,25000000.21434673
JL-321,402,24999999.749050096
JM-321,402,25000000.21434673
JG-320,402,6815361.11428049
JH-320,402,9973036.568217473
JI-320,402,25000000.214338064
JJ-320,402,25000000.21434673
JK-320,402,25000000.214338064
JL-320,402,25000000.214351736
JM-320,402,25000000.214338064
JI-319,402,7822754.207237838
JK-319,402,23370162.314588994
JM-319,402,24999999.749045093
